page,field_name,type,nearby_th_label
1,fill_52,text,สถาบันการเงิน-ใช๒ปหลีพักส.ศุด.ท้าย-เลขลําดับรายงาน
1,fill_1,text,เพิ่มเติม ครั้งท
1,fill_2,text,ลงวันท
1,Check Box34,checkbox,รายงานฉบับหลัก
1,Check Box35,checkbox,รายงานฉบับแกไข
1,comb_1,text,交易办理人身份证号码
1,fill_3,text,๑.๑ ชื่อ-นามสกุล
1,Check Box36,checkbox,ทำ ธุรกรรมด้วยตนเอง
1,Check Box37,checkbox,ทำ ธุรกรรมแทนผู้อื่น
1,fill_4、fill_4_2,text,๑.๒ ที่อยู่
1,fill_6,text,โทรศัพท
1,fill_7,text,โทรสาร
1,fill_5,text,๑.๓ อาชีพ
1,fill_8,text,สถานที่ทํ างาน
1,fill_9,text,โทรศัพท
1,fill_10、fill_11,text,๑.๔ สถานที่สะดวกในการติดตอ
1,fill_12,text,โทรศัพท 
1,fill_13,text,โทรสาร
1,fill_68,text,๑.๓ อาชีพ _ _____ สถานที่ทํ างาน โทรศัพท _______
1,fill_67,text,๑.๓ อาชีพ _ _____ สถานที่ทํ างาน โทรศัพท _______
1,Check Box38,checkbox,บัตรประจํ าตัวประชาชน/ขาราชการ/พนักงานรัฐวิส
1,Check Box39,checkbox,หนังสือเดินทาง
1,Check Box40,checkbox,ใบสํ าคัญประจํ าตัวคนตางดาว
1,Check Box41,checkbox,อื่นๆ (โปรดระบุ)
1,fill_50,text,อื่นๆ (โปรดระบุ)
1,fill_14,text,เลขที่  
1,fill_15,text,ออกใหโดย          
1,fill_16,text,เมื่อ
1,fill_17,text,หมดอาย
1,comb_2,text,共同交易人身份证号码
1,Check Box42,checkbox,ผูรวมทํ าธุรกรรม
1,Check Box43,checkbox,ผูมอบหมาย
1,Check Box44,checkbox,ผูมอบอํ านาจ
1,fill_18,text,๒.๑ ชื่อ
1,fill_19、fill_20,text,๒.๒ ที่อยู/สถานที่ตั้ง
1,fill_21,text,โทรศัพท
1,fill_22,text,โทรสาร
1,fill_23,text,๒.๓ อาชีพ
1,fill_24,text,สถานที่ทํ างาน
1,fill_25,text,โทรศัพท์
1,fill_26,text,ในกรณีที่เป็นนิติบุคคล ให้ระบุประเภทการประกอบการ
1,fill_27、fill_27_1,text,๒.๔ สถานที่สะดวกในการติดตอ
1,fill_28,text,๒.๔ สถานที่สะดวกในการติดตอ
1,fill_71,text,๒.๓ อาชีพ สถานที่ทํ างาน โทรศัพท
1,fill_70,text,๒.๓ อาชีพ สถานที่ทํ างาน โทรศัพท
1,fill_69,text,๒.๓ อาชีพ สถานที่ทํ างาน โทรศัพท
1,fill_29,text,โทรศัพท
1,fill_30,text,โทรสาร
1,Check Box45,checkbox,บัตรประจํ าตัวประชาชน/ขาราชการ/พนักงานรัฐวิสาห
1,Check Box46,checkbox,หนังสือเดินทาง
1,Check Box47,checkbox,ใบสํ าคัญประจํ าตัวคนตางดาว
1,Check Box48,checkbox,หนังสือรับรองขอความในทะเบียนที่นายทะเบียนออกใหไมเกิน ๑ เดือน 
1,Check Box49,checkbox,อื่นๆ (โปรดระบุ)
1,fill_31,text,๒.๔ สถานที่สะดวกในการติดตอ
1,fill_32,text,เลขที่ ออกใหโดย เมื่อ หมดอายุ
1,fill_33,text,โทรศัพท โทรสาร
1,fill_34,text,หมดอาย
1,fill_35,text,วันที่ทํ าธุรกรรม เดือน พ.ศ.
1,fill_36,text,วันที่ทํ าธุรกรรม เดือน พ.ศ.
1,fill_37,text,พ.ศ
1,Check Box50,checkbox,จํ านอง  
1,Check Box51,checkbox,ขายฝาก 
1,Check Box52,checkbox,โอนเงิน   
1,Check Box53,checkbox,อื่นๆ(โปรดระบุ) 
1,fill_53,text,อื่นๆ(โปรดระบุ) 
1,Check Box54,checkbox,ที่ดิน
1,Check Box55,checkbox,ที่ดินและสิ่งปลูกสราง 
1,Check Box56,checkbox,สิ่งปลูกสราง
1,Check Box57,checkbox,อื่นๆ(โปรดระบุ)
1,fill_57,text,อื่นๆ(โปรดระบุ)
1,fill_38、fill_38_1、fill_38_2,text,โปรดระบุรายละเอียดของทรัพยสิน
1,fill_41,text,๓.๓  มูลคาทรัพยสินที่ทํ าธุรกรรมรวมทั้งสิ้น
1,fill_42,text,(หากมูลคาทรัพยสินเปนเงินตราตางประเทศ  โปรดระบุจํ านวนและสกุลเงิน 
1,fill_66,text,(จํ านวนเงินที่เปนตัวอักษร)
1,comb_1,text,๓.๔ เลขที่บัญชีที่ทํ าธุรกรรม
1,fill_49,text,ชื่อบัญชี 
1,fill_43,text,ชื่อเจาของบัญช
1,comb_2,text,๓.๕ บัญชีที่เกี่ยวของ (หากมี)
1,fill_44,text,ชื่อบัญช
1,fill_45,text,ชื่อเจาของบัญช
1,fill_46,text,เกี่ยวของโดย
1,fill_47,text,๓.๖ ชื่อผูรับประโยชนในการทํ าธุรกรรม (ถามี)
1,fill_48,text,๓.๗ วัตถุประสงคในการทํ าธุรกรรม
1,Check Box58,checkbox,สถาบันการเงินเปนผูบันทึกขอเท็จจริง
1,Check Box59,checkbox,ลูกคาไมลงลายมือชื่อ
2,fill_1_2,text,การรายงานทั้งหมดในชอง “รวมเอกสารจํ านวนทั้งสิ้น_________แผน”
