Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28
# id, field_name, field_type, field_length, field_precision, field_scale, field_cn_name, field_en_name, field_th_name, fill_order, is_required, default_value, validation_rule, placeholder_cn, placeholder_en, placeholder_th, help_text_cn, help_text_en, help_text_th, field_group, field_group_cn, field_group_en, field_group_th, report_type, is_active, created_at, updated_at, fillpos
'28', 'report_number', 'VARCHAR', '50', NULL, NULL, '报告编号', 'Report Number', '????????????', '1', '1', NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'header_information', '表头信息', 'Header Information', '?????????????', 'AMLO-1-01', '1', '2025-10-03 02:23:52', '2025-10-25 15:05:50', 'fill_52'
'29', 'report_date_day', 'INT', NULL, NULL, NULL, '报告日期-日', 'Report Date - Day', '??????', '2', '1', NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'header_information', '表头信息', 'Header Information', '?????????????', 'AMLO-1-01', '1', '2025-10-03 02:23:52', '2025-10-12 15:03:01', NULL
'30', 'report_date_month', 'INT', NULL, NULL, NULL, '报告日期-月', 'Report Date - Month', '?????', '3', '1', NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'header_information', '表头信息', 'Header Information', '?????????????', 'AMLO-1-01', '1', '2025-10-03 02:23:52', '2025-10-12 15:03:01', NULL
'31', 'report_date_year', 'INT', NULL, NULL, NULL, '报告日期-年', 'Report Date - Year', '?.?.', '4', '1', NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'header_information', '表头信息', 'Header Information', '?????????????', 'AMLO-1-01', '1', '2025-10-03 02:23:52', '2025-10-12 15:03:01', NULL
'32', 'origin_report_number', 'VARCHAR', '100', NULL, NULL, '原报告编号', 'Origin Report Number', '??????????????????', '5', '0', NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'header_information', '表头信息', 'Header Information', '?????????????', 'AMLO-1-01', '1', '2025-10-03 02:23:52', '2025-10-12 15:03:01', NULL
'33', 'is_first_report', 'BOOLEAN', NULL, NULL, NULL, '是否首次报告', 'Is First Report', '?????????????', '10', '1', NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'report_type_selection', '报告类型', 'Report Type', '????????????', 'AMLO-1-01', '1', '2025-10-03 02:23:52', '2025-10-12 15:03:01', NULL
'34', 'is_amendment_report', 'BOOLEAN', NULL, NULL, NULL, '是否修改报告', 'Is Amendment Report', '???????????????', '11', '0', NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'report_type_selection', '报告类型', 'Report Type', '????????????', 'AMLO-1-01', '1', '2025-10-03 02:23:52', '2025-10-12 15:03:01', NULL
'35', 'reference_report_number', 'VARCHAR', '100', NULL, NULL, '参考报告编号', 'Reference Report Number', '??????????????????????? ??????', '12', '0', NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'report_type_selection', '报告类型', 'Report Type', '????????????', 'AMLO-1-01', '1', '2025-10-03 02:23:52', '2025-10-12 15:03:01', NULL
'36', 'maker_type_person', 'BOOLEAN', NULL, NULL, NULL, '交易者类型-个人', 'Maker Type - Person', '????-???????', '20', '1', NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'transaction_maker_information', '交易制作人信息', 'Transaction Maker Information', '??????? ? ????????????', 'AMLO-1-01', '1', '2025-10-03 02:23:52', '2025-10-12 15:03:01', NULL
