fill_51	รายงานฉบบหลก	rai-nganchaboplok
fill_1	รวมเอกสารจานวนทงสน	ruam-ekkasanchanuanthongson
comb_1	โปรดระบเลขที่บตรประจาตวประชาชน	protraplekthibotprachatatatrachachon
fill_2	๑.๑ ชื่อ-นามสกล	cocho chue namsakon
fill_3	ู่	<PAD>
fill_4	๑.๒ ทอย	cocho thoi
fill_5	โทรศพท	sorotphot
fill_6	โทรสาร	thorsan
fill_7	๑.๓ อาชีพ	cocho achip
fill_8	สถานททางาน	sathantha-ngan
fill_9	โทรศพท	sorotphot
fill_10	๑.๔ สถานทสะดวกในการตดต่อ	cocho sathanthasaduaknaikattotto
fill_11	๑.๕ หลกฐานทใชในการทาธรกรรม	cocho lokthanthachaichaichaichaichaichaichaichaichaichaichaichaichaichaichaichaichaichaichaichaichaichaich
fill_56	บตรประจาตวประชาชน	botprachataprachachon
fill_55	ขาราชการ	kharatchakan
fill_54	พนกงานรฐวสาหกิจ	phanoknganonthawasahakit
fill_12	โทรศพท	sorotphot
fill_13	โทรสาร	thorsan
fill_14	เลขท	lekha
fill_15	ออกใหโดย	okhaidoi
fill_16	เมื่อ	muea
fill_17	หมดอาย	mot-ai
comb_2	โปรดระบเลขที่บตรประจาตวประชาชน	protraplekthibotprachatatatrachachon
fill_18	๒.๑ ชื่อ	cocho chue
fill_19	สถานที่ตั้ง	sathanthitang
fill_20	๒.๒ ทอย	cocho thoi
fill_21	โทรศพท	sorotphot
fill_22	โทรสาร	thorsan
fill_23	๒.๓ อาชีพ	cocho achip
fill_24	สถานททางาน	sathantha-ngan
fill_25	โทรศพท	sorotphot
fill_26	กรณเปนนิติบคคลใหระบุลกษณะการประกอบการ [1]	koranapennitipkhonhairairairairairairairairairairairairairairairairairairairairairairairairairairair aa b
fill_28	กรณเปนนิติบคคลใหระบุลกษณะการประกอบการ [2]	koranapennitipkhonhairairairairairairairairairairairairairairairairairairairairairairairairairairair rako
fill_59	กรณเปนนิติบคคลใหระบุลกษณะการประกอบการ [3]	koranapennitipkhonhairairairairairairairairairairairairairairairairairairairairairairairairairairair aaho
fill_58	กรณเปนนิติบคคลใหระบุลกษณะการประกอบการ [4]	koranapennitipkhonhairairairairairairairairairairairairairairairairairairairairairairairairairairair aipa
fill_57	กรณเปนนิติบคคลใหระบุลกษณะการประกอบการ [5]	koranapennitipkhonhairairairairairairairairairairairairairairairairairairairairairairairairairairair ray
fill_27	๒.๔ สถานทสะดวกในการตดต่อ	cocho sathanthasaduaknaikattotto
fill_29	โทรศพท	sorotphot
fill_30	โทรสาร	thorsan
fill_31	เลขท	lekha
fill_32	ออกใหโดย	okhaidoi
fill_33	เมื่อ	muea
fill_34	หมดอาย	mot-ai
fill_35	วนที่ทาธรกรรม	wonthithathonakam
fill_36	เดอน	doen
fill_37	พ.ศ	phosa
fill_38	๓.๑ มลคาของธรกรรม	cocho monkhakhongthonakam
fill_39	โปรดระบุจานวนและสกลเงน	protrabuchanuanlaesakonnngngn
fill_53	(จานวนเงนทเปนตวอกษร)	phachanuanngentpentawekson
fill_40	ชอบญช	chopncha
comb_3	ชอเจาของบญช	chochaokhongboncha
fill_42	ชอบญช	chopncha
comb_4	ชอเจาของบญช	chochaokhongboncha
fill_44	เกยวของโดย [1]	koeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeo aa b
fill_45	เกยวของโดย [2]	koeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeoeo rako
fill_46	๓.๕ ชอผู้รบประโยชนในการทาธรกรรม (ถาม	cocho chophuropprayotchonnaiaiathaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa phatham
fill_47	๓.๖ วตถประสงคในการทาธรกรรม	cocho wottpharasongkhanaikanthathaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
fill_49	เลขลาดบรายงาน	leklatbrai-ngan
fill_50	๒	a
fill_14_2	การรายงานทงหมดในชอง “รวมเอกสารจานวนทงสน	kanrai-nganthongmotnaichong ruam-ekkasanchanuanthongson
fill_52	สถาบนการเงิน	sathabonkanngoen
Check Box61		
Check Box62		
Check Box63		
Check Box64		
Check Box65		
Check Box66		
Check Box67		
Check Box68		
Check Box69		
Check Box70		
Check Box71		
Check Box72		
Check Box73		
Check Box74		
Check Box75		
Check Box76		
Check Box77		
Check Box78		
t1	[1]	aa b
t2	[2]	rako
m_1	[1]	aa b
m_2	[2]	rako
m_3	[3]	aaho
m_4	[4]	aipa
m_5	[5]	ray
m_6	[6]	oi-i
m_7	[7]	abo
m_8	[8]	aapo
m_9	[9]	ai
m_10	[10]	aiphopa
m_11	[11]	ro  a
m_12	[12]	ro  a
m_13	[13]	aiphoho
